mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
18	18	70	2.0	1/2	1/2	4/4	2	1		V65/vi		G	V		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
19	19	72	2.0	0	0	4/4	2	1		vi		G	V		vi		vi							m	0	0	3, 0, 4		3	3
19	19	74	2.0	1/2	1/2	4/4	2	1		V65/V		G	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
20	20	76	1.0	0	0	4/4	2	1		V(4)}		G	V		V(4)		V			4			}	M	0	0	1, 0, 2		1	1
20	20	77	1.0	1/4	1/4	4/4	2	1		V|HC		G	V		V		V					HC		M	0	0	1, 5, 2		1	1
20	20	78	2.0	1/2	1/2	4/4	2	1		I{		G	V		I		I						{	M	0	0	0, 4, 1		0	0
21	21	80	2.0	0	0	4/4	2	1		V6		G	V		V6		V		6					M	0	0	5, 2, 1		1	5
21	21	82	2.0	1/2	1/2	4/4	2	1		vi		G	V		vi		vi							m	0	0	3, 0, 4		3	3
22	22	84	2.0	0	0	4/4	2	1		iii6		G	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
22	22	86	1.0	1/2	1/2	4/4	2	1		ii6		G	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
22	22	87	2.0	3/4	3/4	4/4	2	1		viio		G	V		viio		vii	o						o	0	0	5, 2, -1		5	5
23	23	89	0.75	1/4	1/4	4/4	2	1		V		G	V		V		V							M	0	0	1, 5, 2		1	1
23	23	359/4	0.25	7/16	7/16	4/4	2	1		V65		G	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
23	23	90	0.875	1/2	1/2	4/4	2	1		I		G	V		I		I							M	0	0	0, 4, 1		0	0
23	23	727/8	0.125	23/32	23/32	4/4	2	1		I6		G	V		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	91	0.5	3/4	3/4	4/4	2	1		ii6		G	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
23	23	183/2	0.5	7/8	7/8	4/4	2	1		V		G	V		V		V							M	0	0	1, 5, 2		1	1
24	24	92	1.0	0	0	4/4	2	1		vi(6)}		G	V		vi(6)		vi			6			}	m	0	0	3, 0, -1		3	3
24	24	93	0.75	1/4	1/4	4/4	2	1		vi|DC		G	V		vi		vi					DC		m	0	0	3, 0, 4		3	3
24	24	375/4	2.0	7/16	7/16	4/4	2	1		viio6/V{		G	V		viio6/V		vii	o	6		V		{	o	0	0	3, 0, 6		6	3
24	24	383/4	1.75	15/16	15/16	4/4	2	1		V(64)		G	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
